tree= 1, node=  1, feature=11, thr= 56.86, gain=0.474440
tree= 1, node=  2, feature=12, thr= 37.25, gain=0.497929
tree= 1, node=  3, feature= 4, thr= 90.20, gain=0.466987
tree= 1, node=  4, feature=16, thr= 19.61, gain=0.848456
tree= 1, node=  5, feature=16, thr= 70.59, gain=0.779911
tree= 1, node=  6, feature=10, thr= 13.73, gain=0.525252
tree= 1, node=  7, feature=16, thr= 25.49, gain=0.353515
tree= 1, node=  8, feature=16, thr=  1.12, gain=0.073605
tree= 1, node=  9, feature= 9, thr= 15.69, gain=0.345116
tree= 1, node= 10, feature= 4, thr= 88.24, gain=0.679950
tree= 1, node= 11, feature= 2, thr= 96.24, gain=0.015999
tree= 1, node= 12, feature=11, thr= 85.67, gain=0.062353
tree= 1, node= 13, feature= 2, thr= 98.04, gain=0.566251
tree= 1, node= 14, feature= 2, thr= 92.47, gain=0.216023
tree= 1, node= 15, feature=14, thr= 54.90, gain=0.474692
tree= 1, node= 16, feature= 4, thr= 96.24, gain=0.209426
tree= 1, node= 17, feature= 1, thr= 86.27, gain=0.273884
tree= 1, node= 18, feature=12, thr=  4.35, gain=0.550029
tree= 1, node= 19, feature= 7, thr= 49.02, gain=0.142882
tree= 1, node= 20, feature=15, thr= 64.71, gain=0.233591
tree= 1, node= 21, feature= 7, thr= 83.06, gain=0.292949
tree= 1, node= 22, feature= 1, thr= 54.90, gain=0.207424
tree= 1, node= 23, feature=16, thr= 76.12, gain=0.029821
tree= 1, node= 24, feature= 8, thr= 21.18, gain=0.301523
tree= 1, node= 25, feature= 6, thr= 44.78, gain=0.365177
tree= 1, node= 26, feature= 3, thr= 25.49, gain=0.480288
tree= 1, node= 27, feature=14, thr= 60.78, gain=0.637279
tree= 1, node= 28, feature=11, thr= 83.14, gain=0.065129
tree= 1, node= 29, feature= 8, thr= 47.12, gain=0.640361
tree= 1, node= 30, feature= 3, thr= 70.59, gain=0.126020
tree= 1, node= 31, feature=10, thr= 10.20, gain=0.038070
tree= 1, node= 32, feature=14, thr= 13.33, gain=0.113244
tree= 1, node= 33, feature= 8, thr= 76.78, gain=0.076508
tree= 1, node= 34, feature= 8, thr= 53.43, gain=0.087864
tree= 1, node= 35, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 36, feature= 8, thr= 59.63, gain=0.708836
tree= 1, node= 37, feature= 4, thr= 92.35, gain=0.302670
tree= 1, node= 38, feature= 2, thr= 78.98, gain=0.199892
tree= 1, node= 39, feature= 7, thr= 91.18, gain=0.049575
tree= 1, node= 40, feature=12, thr= 53.80, gain=0.483449
tree= 1, node= 41, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 42, feature= 6, thr= 92.86, gain=0.819153
tree= 1, node= 43, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 44, feature= 9, thr= 35.29, gain=0.003457
tree= 1, node= 45, feature= 2, thr= 92.43, gain=0.083697
tree= 1, node= 46, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 47, feature= 7, thr= 68.63, gain=0.142409
tree= 1, node= 48, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 49, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 50, feature=11, thr= 99.18, gain=0.020915
tree= 1, node= 51, feature= 2, thr= 94.12, gain=0.107503
tree= 1, node= 52, feature=14, thr= 60.78, gain=0.775840
tree= 1, node= 53, feature= 4, thr= 63.53, gain=0.131502
tree= 1, node= 54, feature=14, thr= 16.47, gain=0.319773
tree= 1, node= 55, feature= 3, thr= 31.12, gain=0.156509
tree= 1, node= 56, feature=13, thr= 45.10, gain=0.195092
tree= 1, node= 57, feature=16, thr=  0.49, gain=0.071060
tree= 1, node= 58, feature=11, thr= 75.55, gain=0.058071
tree= 1, node= 59, feature= 4, thr= 96.12, gain=0.098540
tree= 1, node= 60, feature= 3, thr= 48.04, gain=0.094406
tree= 1, node= 61, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 62, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 63, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 64, feature=16, thr=  0.02, gain=0.022666
tree= 1, node= 65, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 66, feature= 6, thr= 77.25, gain=0.047320
tree= 1, node= 67, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 68, feature= 4, thr= 94.71, gain=0.061379
tree= 1, node= 69, feature= 9, thr= 62.12, gain=0.177377
tree= 1, node= 72, feature= 1, thr= 32.47, gain=0.199024
tree= 1, node= 73, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 74, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 75, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 76, feature= 9, thr= 43.37, gain=0.086312
tree= 1, node= 77, feature=14, thr= 49.41, gain=0.195368
tree= 1, node= 78, feature=10, thr=  1.12, gain=0.032363
tree= 1, node= 79, feature= 3, thr= 23.29, gain=0.299925
tree= 1, node= 80, feature=12, thr= 48.29, gain=0.065816
tree= 1, node= 81, feature=11, thr= 45.02, gain=0.146058
tree= 1, node= 84, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 85, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 88, feature=14, thr= 81.37, gain=0.036110
tree= 1, node= 89, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 90, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 91, feature=-1, thr= -1.00, gain=0.000000
